ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Trade_Flow,Scale,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,F2023
101,Australia,AU,AUS,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,1870570204.0,2106971217.0,2632450584.0,2614727172.0,2482977000.0,2566815152.0,2564316967.0,2485177272.0,2617647526.0,3159983932.0,4185022113.0,4905190589.0,5325644687.0,6588513541.0,7856022455.0,8703294116.0,8566923803.0,9328925642.0,10786934652.0,10366448509.0,11550776345.0,9972039870.0,8615570852.0,9353441653.167,11308494769.27,11728782048.479,11390888466.583,14408315376.03,14912299186.204,19204096321.24
102,Australia,AU,AUS,Imports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,0.529345993469615,0.555789340429626,0.619764884545344,0.613192974606539,0.650846030857273,0.622920200261436,0.640673043086651,0.657447720522427,0.615213118272795,0.583730164673309,0.635113778679949,0.666088847562703,0.679850058490427,0.693498774435458,0.743438351449566,0.869474461249552,0.682747135617303,0.615573600967029,0.686961178345414,0.681915970620601,0.792434338056686,0.807762659720409,0.681679648082973,0.676505332082962,0.79687930618494,0.84488919799018,0.834557877886619,0.869123231684504,0.864519101789711,1.10249109421232
104,Australia,AU,AUS,Total trade in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,2505885226.0,2825259444.0,3484895850.0,3430638159.0,3288308515.0,3242376003.0,3318313678.0,3232348635.0,3425621961.0,4062898102.0,5328294168.0,6237297286.0,6694861514.0,8124231081.0,9668693826.0,10335843708.0,10403072089.0,11510127608.0,12658629660.0,12084087781.0,13341194476.0,11450630411.0,10109930905.0,11082073202.788,13197491005.268,14141239902.682,13548148614.335,16933270595.989,17277407007.451,21725173560.225
105,Australia,AU,AUS,Total trade in low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTL,Trade in Low Carbon Technology Products,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products",Not Applicable,Units,0.70913152665496,0.74526366105709,0.820458354377147,0.804536412075008,0.861942154607926,0.786866754911393,0.82905278456566,0.855110122709399,0.805107466806659,0.750521594149465,0.808615331432734,0.846979151116877,0.854638688718478,0.855146500472823,0.914976737890707,1.03256905026934,0.82908028992832,0.7595012513925,0.806159249871741,0.794904102508301,0.915264939577061,0.927532560724185,0.799916135547041,0.801531873530353,0.929991806180837,1.01867191244407,0.992610382415912,1.02143092230323,1.00163282675788,1.24722402812956
106,Australia,AU,AUS,Trade balance in low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,-1235255182.0,-1388682990.0,-1780005318.0,-1798816185.0,-1677645485.0,-1891254301.0,-1810320256.0,-1738005909.0,-1809673091.0,-2257069762.0,-3041750058.0,-3573083892.0,-3956427860.0,-5052796001.0,-6043351084.0,-7070744524.0,-6730775517.0,-7147723676.0,-8915239644.0,-8648809237.0,-9760358214.0,-8493449329.0,-7121210799.0,-7624810103.546,-9419498533.272,-9316324194.276,-9233628318.831,-11883360156.071,-12547191364.957,-16683019082.255
107,Australia,AU,AUS,Trade balance in low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLB,Trade in Low Carbon Technology Products; Trade Balance,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Trade Balance",Not Applicable,Units,-0.349560460284269,-0.366315019802162,-0.419071414713542,-0.421849537138071,-0.43974990710662,-0.458973645611479,-0.452293301607642,-0.459785318335455,-0.425318769738932,-0.416938735197153,-0.461612225927164,-0.485198544008529,-0.505061428262376,-0.531851048398093,-0.571899965008426,-0.706379872229762,-0.536413981306286,-0.471645950541559,-0.567763106819087,-0.568927838732901,-0.669603736536311,-0.687992758716634,-0.563443160618904,-0.55147879063557,-0.663766806189044,-0.671106483536295,-0.676505373357326,-0.716815541065777,-0.727405376821538,-0.957758160295079
109,Austria,AT,AUT,Exports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,1939181453.0,2450009435.0,2432061127.0,2300083630.0,2528107895.0,2480083700.0,2606243171.0,2872195617.0,3029710648.0,3806097788.0,4728151825.0,4969273953.0,6087957827.0,7174192787.0,8465749935.0,6827752715.0,7077622508.0,7684014456.0,7080277562.0,7471759244.0,7592644612.0,6651575840.0,6803514586.943,7791085917.929,9231455837.287,10073688820.248,9356757160.485,11339193878.919,10726502588.5,12578161024.033
110,Austria,AT,AUT,Exports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLX,Trade in Low Carbon Technology Products; Exports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Exports",Exports,Units,0.950717917677646,1.01561345245477,1.02470483411327,1.07962157576856,1.15672852659082,1.1404001011907,1.32044106193899,1.45420227429372,1.41414390945058,1.45155667429399,1.56914231021515,1.57122769790399,1.81028763199006,1.84316866127604,1.9596435316535,1.70131275297658,1.80277756490996,1.78031770543939,1.72832538298832,1.73682171554148,1.71508090219515,1.74120509424275,1.71923935248659,1.86785606204367,2.0280110482057,2.26555645727108,2.15245692732057,2.36423283857038,2.27634541577012,2.42022724107365
112,Austria,AT,AUT,Imports of low carbon technology products,US Dollars,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,1917482324.0,2036681532.0,2281772483.0,2317577220.0,2377412298.0,2345561108.0,2717575869.0,2919675528.0,2809211184.0,3671625984.0,4237708989.0,4390599608.0,4984760379.0,5863244051.0,6516664730.0,5139153862.0,5533328850.0,6470417500.0,6224048120.0,6641526598.0,6683469179.0,5948127158.0,6090273727.092,7272335769.427,8501001873.818,9279241431.013,9216371027.685,12537980291.88,12747351623.494,15240939059.932
113,Austria,AT,AUT,Imports of low carbon technology products as percent of GDP,Percent,Department of Economic and Social Affairs/United Nations. 2022. United Nations Comtrade database. https://comtrade.un.org. International Monetary Fund (IMF) Direction of Trade Statistics (DOTS). https://data.imf.org/dot. World Economic Outlook (WEO) Database. https://www.imf.org/en/Publications/WEO/weo-database/2022/April. IMF staff calculations.,ECBTLM,Trade in Low Carbon Technology Products; Imports,"Environment, Climate Change, Mitigation, Trade-Related, Trade in Low Carbon Technology Products, Imports",Imports,Units,0.940079536877136,0.844274774095061,0.961383440456898,1.08783278033318,1.08777818779148,1.07854348823476,1.37684725903197,1.47824151248168,1.31122385856765,1.4002722734528,1.40637795044134,1.38825747578904,1.48224582347091,1.50636427108554,1.50847119087496,1.28055428629117,1.40942259901169,1.49913810063697,1.5193161929796,1.54383288367003,1.50970984881819,1.55706099694915,1.53900430802728,1.74348949494733,1.86754137427439,2.08688651374197,2.12016207357345,2.61418095959366,2.7052037877155,2.93258575891277
